"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5221136",-121.503366415,38.5645060332,2011,"3404","0","1","4","10",0,1,"A","Y",,,,,1800,7,"D","B","B","BROADWAY","18TH ST",1,"W","N","2012-12-12",3404,"2011-07-11",1741,"574",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","D","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5250251",-121.505500925,38.5663269009,2011,"3404","0","3","3","00",0,1,"A","Y",,,,"Y",2400,7,"G","B","B","16TH ST","X ST",7,"S","N","2012-11-08",3404,"2011-07-06",2253,"0831",,"5","7","0","0",,"0","04A","-","N",,,0,,,0,,,,"N",2,"D","-",0,,"F","A","H","-","C","A","0","Y","-","-",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5250255",-121.48271,38.49584,2011,"3404","0","3","4","10",0,1,"A","Y",,,,,900,7,"G","B","B","FLORIN RD","24TH ST",0,,"Y","2012-11-26",3404,"2011-07-06",853,"771",,"5","7","0","0",,"0","05A","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5252966",-121.453232311,38.6090243259,2011,"3404","0","5","4","09",0,1,"A","Y",,,,,1800,7,"G","B","B","FAIRFIELD ST","DEL PASO BL",5,"W","N","2012-11-28",3404,"2011-07-22",1621,"0497","2","5","7","0","0",,"0","00C","-","N",,,0,,,0,,,,"N",2,"A","-",21453,"B","F","A","H","-","A","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5253005",-121.49851,38.56321,2011,"3404","0","3","4","-",0,1,"A","Y",,,,,2100,7,"G","B","B","RIVERSIDE BL","BROADWAY",0,,"Y","2012-11-28",3404,"2011-07-20",2050,"222",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"-","-",0,,"F","A","H","-","B","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5253162",-121.21473,38.66453,2011,"3404","4","2","2","11",0,2,"A","Y",,"Y",,"Y",2400,6,"G","B","B","MADISON AV","WINDING OAK DR",0,,"Y","2012-09-18",9250,"2011-06-14",2100,"17734",,"2","7","0","2",,"2","034","-","N",,,0,,,0,,,,"Y",2,"A","-",21950,"B","N","A","H","-","C","A","0","Y","N","60",1,1,0,0,1,0,0,0,1,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5259450",-121.45316,38.48226,2011,"3404","0","3","3","08",0,1,"A","Y",,,,,2100,7,"G","B","B","FRANKLIN BL","BROOKFIELD DR",0,,"Y","2012-10-26",3404,"2011-07-13",1922,"0610","5","5","7","0","0",,"0","00B","-","N",,,0,,,0,,,,"N",2,"A","-",22107,,"N","A","H","-","A","A","0","Y","A","07",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5259680",-121.48171,38.57593,2011,"3404","0","5","4","10",0,1,"A","Y",,,,,1800,7,"D","B","B","K ST","19TH ST",0,,"Y","2012-10-24",3404,"2011-07-22",1746,"0540","3","5","7","0","0",,"0","03B","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5276573",-121.4293,38.45997,2011,"3404","0","5","3","-",0,1,"A","Y",,,,,2100,8,"G","B","B","CENTER PKWY","ARROYO VISTA DR",0,,"Y","2012-12-06",3404,"2011-08-26",2009,"572","5","5","7","0","0",,"0","00C","-","N",,,0,,,0,,,,"N",2,"A","-",0,,"N","A","H","-","D","D","0","Y","-","-",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5286975",-121.48283,38.5664,2011,"3404","0","1","3","10",0,1,"A","Y",,,,,900,8,"G","B","B","21ST ST","S ST",0,,"Y","2012-12-11",3404,"2011-08-08",838,"0756","3B","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5289242",-121.533545802,38.4846254802,2011,"3404","0","1","4","10",0,1,"A","Y",,,,,900,8,"B","B","B","RUSH RIVER DR","WINDBRIDGE DR",38,"E","N","2012-12-08",3404,"2011-08-15",749,"0726",,"5","7","0","0",,"0","04C","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
